"year","week","zone","spp","pools_L","pools_G","n_pools","pos_pools_L","pos_pools_G","n_pos_pools"
2018,25,"NW","Tarsalis",3,0,3,0,0,0
2018,25,"SE","Pipiens",4,3,7,0,0,0
2018,25,"SE","Tarsalis",14,0,14,0,0,0
2018,25,"SW","Pipiens",2,0,2,0,0,0
2018,25,"SW","Tarsalis",7,0,7,0,0,0
2018,26,"BE","Pipiens",1,0,1,0,0,0
2018,26,"BE","Tarsalis",6,0,6,0,0,0
2018,26,"LV","Pipiens",2,0,2,0,0,0
2018,26,"LV","Tarsalis",6,0,6,0,0,0
2018,26,"NE","Pipiens",7,2,9,0,0,0
2018,26,"NE","Tarsalis",11,0,11,0,0,0
2018,26,"NW","Pipiens",4,2,6,0,0,0
2018,26,"NW","Tarsalis",9,0,9,0,0,0
2018,26,"SE","Pipiens",5,2,7,0,0,0
2018,26,"SE","Tarsalis",20,1,21,0,0,0
2018,26,"SW","Pipiens",2,1,3,0,0,0
2018,26,"SW","Tarsalis",12,0,12,0,0,0
2018,27,"BE","Pipiens",1,0,1,0,0,0
2018,27,"BE","Tarsalis",9,0,9,0,0,0
2018,27,"LV","Tarsalis",10,0,10,0,0,0
2018,27,"NE","Pipiens",2,5,7,0,0,0
2018,27,"NE","Tarsalis",19,0,19,0,0,0
2018,27,"NW","Pipiens",4,3,7,0,0,0
2018,27,"NW","Tarsalis",10,0,10,0,0,0
2018,27,"SE","Pipiens",4,7,11,0,0,0
2018,27,"SE","Tarsalis",25,0,25,0,0,0
2018,27,"SW","Pipiens",0,2,2,0,0,0
2018,27,"SW","Tarsalis",9,0,9,0,0,0
2018,28,"BE","Pipiens",1,0,1,0,0,0
2018,28,"BE","Tarsalis",21,0,21,1,0,1
2018,28,"LV","Pipiens",1,0,1,0,0,0
2018,28,"LV","Tarsalis",17,0,17,0,0,0
2018,28,"NE","Pipiens",4,3,7,0,0,0
2018,28,"NE","Tarsalis",20,0,20,0,0,0
2018,28,"NW","Pipiens",3,5,8,0,0,0
2018,28,"NW","Tarsalis",13,0,13,0,0,0
2018,28,"SE","Pipiens",4,9,13,0,0,0
2018,28,"SE","Tarsalis",30,0,30,0,0,0
2018,28,"SW","Pipiens",1,2,3,0,1,1
2018,28,"SW","Tarsalis",7,0,7,0,0,0
2018,29,"BE","Pipiens",1,0,1,0,0,0
2018,29,"BE","Tarsalis",6,0,6,0,0,0
2018,29,"LV","Pipiens",1,0,1,0,0,0
2018,29,"LV","Tarsalis",7,0,7,1,0,1
2018,29,"NE","Pipiens",5,3,8,0,0,0
2018,29,"NE","Tarsalis",8,0,8,0,0,0
2018,29,"NW","Pipiens",3,2,5,0,0,0
2018,29,"NW","Tarsalis",11,0,11,0,0,0
2018,29,"SE","Pipiens",2,15,17,0,1,1
2018,29,"SE","Tarsalis",20,0,20,0,0,0
2018,29,"SW","Pipiens",1,1,2,0,0,0
2018,29,"SW","Tarsalis",8,0,8,1,0,1
2018,30,"BE","Pipiens",1,0,1,0,0,0
2018,30,"BE","Tarsalis",7,0,7,1,0,1
2018,30,"LV","Tarsalis",6,0,6,1,0,1
2018,30,"NE","Pipiens",8,4,12,0,0,0
2018,30,"NE","Tarsalis",15,0,15,0,0,0
2018,30,"NW","Pipiens",4,11,15,0,3,3
2018,30,"NW","Tarsalis",12,0,12,0,0,0
2018,30,"SE","Pipiens",3,6,9,0,0,0
2018,30,"SE","Tarsalis",13,0,13,1,0,1
